Приоритетна област	Програма	Модул	Вид	Средства	Година
Ефективно включване, трайно приобщаване и образователна интеграция	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Осигуряване на ученически шкафчета	Национална програма	2892772	2018
Ефективно включване, трайно приобщаване и образователна интеграция	НП ЗАЕДНО ЗА ВСЯКО ДЕТЕ		Национална програма	11845	2018
Ефективно включване, трайно приобщаване и образователна интеграция	BG05M20P001-3.002 Образователна интеграция на учениците от етническите малцинства и/или търсещи или получили международна закрила		Европейски програми и проекти	5946440.77	2018
Ефективно включване, трайно приобщаване и образователна интеграция	BG05M20P001-3.001 Деца в неравностойно положение		Европейски програми и проекти	4256810.85	2018
Образователни иновации, дигитална трансформация и устойчиво развитие	НП ИНФОРМАЦИОННИ И КОМУНИКАЦИОННИ ТЕХНОЛОГИИ (ИКТ) В СИСТЕМАТА НА ПРЕДУЧИЛИЩНОТО И УЧИЛИЩНОТО ОБРАЗОВАНИЕ		Национална програма	7978677	2018
Образователни иновации, дигитална трансформация и устойчиво развитие	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Подкрепа на целодневното обучевие на учениците	Национална програма	793337	2018
Реализация в професиите на настоящето и бъдещето	НП ОСИГУРЯВАНЕ НА СЪВРЕМЕННА ОБРАЗОВАТЕЛНА СРЕДА	Модул Модернизиране на системата на професионалното образование	Национална програма	1676031	2018
Реализация в професиите на настоящето и бъдещето	НП ОБУЧЕНИЕ ЗА ИТ КАРИЕРА		Национална програма	400000	2018
Реализация в професиите на настоящето и бъдещето	BG05M2OP001-2.006-0001 Ученически практики - фаза 1		Европейски програми и проекти	5139395.29	2018
Реализация в професиите на настоящето и бъдещето	BG05M2OP001-2.002-0001 Студентски практики - фаза 1		Европейски програми и проекти	12188818.14	2018
Реализация в професиите на настоящето и бъдещето	BG05M2OP001-2.003-0001 Студентски стипендии - фаза1		Европейски програми и проекти	3199774.36	2018
Учене през целия живот	BG05M2OP001-3.004 Ограмотяване на възрастни - фаза 1		Европейски програми и проекти	3800940	2018
Ефикасно управление и участие в мрежи	НП РОДЕН ЕЗИК И КУЛТУРА ЗАД ГРАНИЦА		Национална програма	1521428	2018
Ранно детско развитие	Средства в лв. от националния бюджет (без национални програми)		Бюджет	704455903	2018
Ранно детско развитие	Средства от ЕС и други международни проекти		Външен източник	5113344	2018
Компетентности и таланти	Средства в лв. от националния бюджет (без национални програми)		Бюджет	51709297	2018
Компетентности и таланти	Средства от ЕС и други международни проекти		Външен източник	2085500	2018
Мотивирани и креативни учители	Средства в лв. от националния бюджет (без национални програми)		Бюджет	1431219915	2018
Мотивирани и креативни учители	Средства от ЕС и други международни проекти		Външен източник	38031576	2018
Сплотени училищни общности и системна работа с родителите	Средства в лв. от националния бюджет (без национални програми)		Бюджет	305613	2018
Сплотени училищни общности и системна работа с родителите	Средства от ЕС и други международни проекти		Външен източник	0	2018
Ефективно включване, трайно приобщаване и образователна интеграция	Средства в лв. от националния бюджет (без национални програми)		Бюджет	360251959	2018
Ефективно включване, трайно приобщаване и образователна интеграция	Средства от ЕС и други международни проекти		Външен източник	112374350	2018
Образователни иновации, дигитална трансформация и устойчиво развитие	Средства в лв. от националния бюджет (без национални програми)		Бюджет	49630555	2018
Образователни иновации, дигитална трансформация и устойчиво развитие	Средства от ЕС и други международни проекти		Външен източник	8163659	2018
Реализация в професиите на настоящето и бъдещето	Средства в лв. от националния бюджет (без национални програми)		Бюджет	63148624	2018
Реализация в професиите на настоящето и бъдещето	Средства от ЕС и други международни проекти		Външен източник	14765771	2018
Учене през целия живот	Средства в лв. от националния бюджет (без национални програми)		Бюджет	1948921	2018
Учене през целия живот	Средства от ЕС и други международни проекти		Външен източник	5829895	2018
Ефикасно управление и участие в мрежи	Средства в лв. от националния бюджет (без национални програми)		Бюджет	81286524	2018
Ефикасно управление и участие в мрежи	Средства от ЕС и други международни проекти		Външен източник	102358625	2018
Ранно детско развитие	Средства в лв. от националния бюджет (без национални програми)		Бюджет	792424130	2019
Ранно детско развитие	Средства от ЕС и други международни проекти		Външен източник	4259278	2019
Компетентности и таланти	Средства в лв. от националния бюджет (без национални програми)		Бюджет	59370796	2019
Компетентности и таланти	Средства от ЕС и други международни проекти		Външен източник	1900853	2019
Мотивирани и креативни учители	Средства в лв. от националния бюджет (без национални програми)		Бюджет	1705932605	2019
Мотивирани и креативни учители	Средства от ЕС и други международни проекти		Външен източник	15549250	2019
Сплотени училищни общности и системна работа с родителите	Средства в лв. от националния бюджет (без национални програми)		Бюджет	262201	2019
Сплотени училищни общности и системна работа с родителите	Средства от ЕС и други международни проекти		Външен източник	5591	2019
Ефективно включване, трайно приобщаване и образователна интеграция	Средства в лв. от националния бюджет (без национални програми)		Бюджет	390259732	2019
Ефективно включване, трайно приобщаване и образователна интеграция	Средства от ЕС и други международни проекти		Външен източник	89958207	2019
Образователни иновации, дигитална трансформация и устойчиво развитие	Средства в лв. от националния бюджет (без национални програми)		Бюджет	63453087	2019
Образователни иновации, дигитална трансформация и устойчиво развитие	Средства от ЕС и други международни проекти		Външен източник	4880048	2019
Реализация в професиите на настоящето и бъдещето	Средства в лв. от националния бюджет (без национални програми)		Бюджет	68797839	2019
Реализация в професиите на настоящето и бъдещето	Средства от ЕС и други международни проекти		Външен източник	12860936	2019
Учене през целия живот	Средства в лв. от националния бюджет (без национални програми)		Бюджет	935450	2019
Учене през целия живот	Средства от ЕС и други международни проекти		Външен източник	7699405	2019
Ефикасно управление и участие в мрежи	Средства в лв. от националния бюджет (без национални програми)		Бюджет	86268594	2019
Ефикасно управление и участие в мрежи	Средства от ЕС и други международни проекти		Външен източник	77525285	2019
Ранно детско развитие	Средства в лв. от националния бюджет (без национални програми)		Бюджет	843126691	2020
Ранно детско развитие	Средства от ЕС и други международни проекти		Външен източник	16501841	2020
Компетентности и таланти	Средства в лв. от националния бюджет (без национални програми)		Бюджет	38658782	2020
Компетентности и таланти	Средства от ЕС и други международни проекти		Външен източник	542585	2020
Мотивирани и креативни учители	Средства в лв. от националния бюджет (без национални програми)		Бюджет	1987640648	2020
Мотивирани и креативни учители	Средства от ЕС и други международни проекти		Външен източник	37989174	2020
Сплотени училищни общности и системна работа с родителите	Средства в лв. от националния бюджет (без национални програми)		Бюджет	168298	2020
Сплотени училищни общности и системна работа с родителите	Средства от ЕС и други международни проекти		Външен източник	98345	2020
Ефективно включване, трайно приобщаване и образователна интеграция	Средства в лв. от националния бюджет (без национални програми)		Бюджет	398873775	2020
Ефективно включване, трайно приобщаване и образователна интеграция	Средства от ЕС и други международни проекти		Външен източник	63286077	2020
